"randomise_blocks","randomise_trials","display","L1H","L1M","L1L","L1PrH","L1PrM","L1PrL","L2H","L2M","L2L","L2PrH","L2PrM","L2PrL","L1H_text","L1M_text","L1L_text","L1PrH_text","L1PrM_text","L1PrL_text","L2H_text","L2M_text","L2L_text","L2PrH_text","L2PrM_text","L2PrL_text"
,,"Instructions",,,,,,,,,,,,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>"
,1,"Practice","","$10","","","100%","","$20","$10","$0","25%","50%","25%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$10<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$20<h3/>","<h3 style=""font-size: 40px; color: white;"">$10<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">25%<h3/>","<h3 style=""font-size: 40px; color: white;"">50%<h3/>","<h3 style=""font-size: 40px; color: white;"">25%<h3/>"
,1,"Practice","$25","$20","$0","20%","50%","30%","","$10","","","100%","","<h3 style=""font-size: 40px; color: white;"">$25<h3/>","<h3 style=""font-size: 40px; color: white;"">$20<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">20%<h3/>","<h3 style=""font-size: 40px; color: white;"">50%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$10<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,1,"Practice","","$10","","","100%","","$30","$10","$0","10%","20%","70%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$10<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$10<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">10%<h3/>","<h3 style=""font-size: 40px; color: white;"">20%<h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>"
,,"StartExperiment",,,,,,,,,,,,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>"
,2,"Trial","$5","$30","$0","35%","30%","35%","","$30","","","100%","","<h3 style=""font-size: 40px; color: white;"">$5<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,2,"Trial","","$30","","","100%","","$10","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$10<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","$15","$30","$0","35%","30%","35%","","$30","","","100%","","<h3 style=""font-size: 40px; color: white;"">$15<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,2,"Trial","$20","$30","$0","35%","30%","35%","","$30","","","100%","","<h3 style=""font-size: 40px; color: white;"">$20<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,2,"Trial","$25","$30","$0","35%","30%","35%","","$30","","","100%","","<h3 style=""font-size: 40px; color: white;"">$25<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,2,"Trial","$30","$30","$0","35%","30%","35%","","$30","","","100%","","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,2,"Trial","","$30","","","100%","","$35","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$35<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","","$30","","","100%","","$40","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$40<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","","$30","","","100%","","$45","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$45<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","","$30","","","100%","","$50","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$50<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","","$30","","","100%","","$55","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$55<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","","$30","","","100%","","$60","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$60<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","","$30","","","100%","","$65","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$65<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","$70","$30","$0","35%","30%","35%","","$30","","","100%","","<h3 style=""font-size: 40px; color: white;"">$70<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,2,"Trial","","$30","","","100%","","$75","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$75<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","$80","$30","$0","35%","30%","35%","","$30","","","100%","","<h3 style=""font-size: 40px; color: white;"">$80<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,2,"Trial","$85","$30","$0","35%","30%","35%","","$30","","","100%","","<h3 style=""font-size: 40px; color: white;"">$85<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>"
,2,"Trial","","$30","","","100%","","$90","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$90<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
