"randomise_blocks","randomise_trials","display","L1H","L1M","L1L","L1PrH","L1PrM","L1PrL","L2H","L2M","L2L","L2PrH","L2PrM","L2PrL","L1H_text","L1M_text","L1L_text","L1PrH_text","L1PrM_text","L1PrL_text","L2H_text","L2M_text","L2L_text","L2PrH_text","L2PrM_text","L2PrL_text"
,2,"Trial","","$30","","","100%","","$95","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$95<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,2,"Trial","","$30","","","100%","","$100","$30","$0","35%","30%","35%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">100%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$100<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>"
,,"BlockStart",,,,,,,,,,,,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>"
,3,"Trial","$5","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$5<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$10","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$10<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$15","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$15<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$20","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$20<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$25","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$25<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$30","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$35","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$35<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$40","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$40<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","$45","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$45<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","$50","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$50<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$55","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$55<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","$60","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$60<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$65","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$65<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","$70","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$70<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","$75","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$75<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","$80","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$80<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","$85","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$85<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","$90","","$0","35%","","65%","","$30","$0","","70%","30%","<h3 style=""font-size: 40px; color: white;"">$90<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$95","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$95<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,3,"Trial","","$30","$0","","70%","30%","$100","","$0","35%","","65%","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$30<h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">70%<h3/>","<h3 style=""font-size: 40px; color: white;"">30%<h3/>","<h3 style=""font-size: 40px; color: white;"">$100<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">$0<h3/>","<h3 style=""font-size: 40px; color: white;"">35%<h3/>","<h3 style=""font-size: 40px; color: white;""><h3/>","<h3 style=""font-size: 40px; color: white;"">65%<h3/>"
,,"End",,,,,,,,,,,,,"<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>","<h3 style=""font-size: 40px; color: white;"">NA<h3/>"
